Link,Types,Source,Target,MarriageYear,NumKids,LinkStrength
L001,Marriage link,P001,P002,2005,2,Strong
L002,Parent link,P001,P003,2008,2,Strong
L003,Parent link,P002,P003,2008,2,Strong
L004,Marriage link,P004,P005,2002,3,Strong
L005,Parent link,P004,P006,2004,3,Strong
L006,Parent link,P005,P006,2004,3,Strong
L007,Marriage link,P007,P008,2012,2,Fluid
L008,Parent link,P007,P009,2014,2,Strong
L009,Parent link,P008,P009,2014,2,Strong
L010,Marriage link,P010,P011,2011,1,Fluid
L011,Parent link,P010,P012,2013,1,Strong
L012,Parent link,P011,P012,2013,1,Strong
L013,Marriage link,P013,P014,2006,3,Strong
L014,Parent link,P013,P015,2008,3,Strong
L015,Parent link,P014,P015,2008,3,Strong
L016,Marriage link,P016,P017,2013,2,Strong
L017,Parent link,P016,P018,2015,2,Strong
L018,Parent link,P017,P018,2015,2,Strong
L019,Marriage link,P019,P020,2008,3,Strong
L020,Parent link,P019,P021,2010,3,Strong
L021,Parent link,P020,P021,2010,3,Strong
L022,Marriage link,P022,P023,2014,1,Fluid
L023,Parent link,P022,P024,2016,1,Strong
L024,Parent link,P023,P024,2016,1,Strong
L025,Marriage link,P025,P026,2009,3,Strong
L026,Parent link,P025,P027,2011,3,Strong
L027,Parent link,P026,P027,2011,3,Strong
L028,Marriage link,P028,P029,2010,2,Strong
L029,Parent link,P028,P030,2012,2,Strong
L030,Parent link,P029,P030,2012,2,Strong
L031,Marriage link,P031,P032,2007,4,Strong
L032,Parent link,P031,P033,2009,4,Strong
L033,Parent link,P032,P033,2009,4,Strong
L034,Marriage link,P034,P035,2003,3,Strong
L035,Parent link,P034,P036,2005,3,Strong
L036,Parent link,P035,P036,2005,3,Strong
L037,Marriage link,P037,P038,2010,0,Fluid
L038,Marriage link,P039,P040,2011,2,Strong
L039,Parent link,P039,P041,2013,2,Strong
L040,Parent link,P040,P041,2013,2,Strong
L041,Marriage link,P042,P043,2015,2,Strong
L042,Parent link,P042,P044,2017,2,Strong
L043,Parent link,P043,P044,2017,2,Strong
L044,Marriage link,P045,P046,2009,1,Strong
L045,Parent link,P045,P047,2011,1,Strong
L046,Parent link,P046,P047,2011,1,Strong
L047,Marriage link,P048,P049,2010,3,Strong
L048,Parent link,P048,P050,2012,3,Strong
L049,Parent link,P049,P050,2012,3,Strong
L050,Marriage link,P001,P004,2005,2,Strong
L051,Marriage link,P002,P007,2009,1,Fluid
L052,Marriage link,P003,P010,2015,0,Fluid
L053,Marriage link,P005,P013,2018,1,Strong
L054,Marriage link,P006,P016,2014,0,Fluid
L055,Marriage link,P008,P019,2015,3,Strong
L056,Marriage link,P009,P022,2012,2,Strong
L057,Marriage link,P011,P025,2014,0,Fluid
L058,Marriage link,P012,P028,2013,2,Strong
L059,Marriage link,P014,P031,2012,4,Strong
L060,Marriage link,P015,P034,2011,3,Strong
